country_code,capacity_gw,country_name,source
ARG,2.59,Argentina,Ember
ARM,0.71,Armenia,Ember
AUS,41.07,Australia,Ember
AUT,10.3,Austria,Ember
AZE,0.28,Azerbaijan,Ember
BGD,1.15,Bangladesh,Ember
BLR,0.28,Belarus,Ember
BEL,10.4,Belgium,Ember
BOL,0.19,Bolivia,Ember
BIH,0.67,Bosnia Herzegovina,Ember
BRA,64.69,Brazil,Ember
BGR,5.91,Bulgaria,Ember
KHM,1.48,Cambodia,Ember
CAN,5.93,Canada,Ember
CHL,12.14,Chile,Ember
CHN,1202.18,China,Ember
COL,1.73,Colombia,Ember
CRI,0.08,Costa Rica,Ember
HRV,1.32,Croatia,Ember
CYP,0.86,Cyprus,Ember
CZE,4.54,Czechia,Ember
DNK,5.05,Denmark,Ember
DOM,2.08,Dominican Republic (the),Ember
ECU,0.13,Ecuador,Ember
EGY,3.27,Egypt,Ember
SLV,0.74,El Salvador,Ember
EST,0.98,Estonia,Ember
FIN,1.57,Finland,Ember
FRA,31.23,France,Ember
GEO,0.32,Georgia,Ember
DEU,106.27,Germany,Ember
GRC,11.08,Greece,Ember
HUN,8.18,Hungary,Ember
IND,135.5,India,Ember
IRN,1.78,Iran (Islamic Republic of),Ember
IRL,2.49,Ireland,Ember
ITA,41.19,Italy,Ember
JPN,92.21,Japan,Ember
KAZ,1.33,Kazakhstan,Ember
KEN,0.55,Kenya,Ember
XKX,,Kosovo,Ember
KWT,0.1,Kuwait,Ember
LVA,0.92,Latvia,Ember
LTU,3.3,Lithuania,Ember
LUX,0.77,Luxembourg,Ember
MYS,3.07,Malaysia,Ember
MLT,0.25,Malta,Ember
MEX,12.93,Mexico,Ember
MDA,0.71,Moldova,Ember
MNG,0.13,Mongolia,Ember
MNE,0.1,Montenegro,Ember
MAR,1.09,Morocco,Ember
NLD,25.88,Netherlands,Ember
NZL,0.84,New Zealand,Ember
NGA,0.28,Nigeria,Ember
MKD,1.06,North Macedonia,Ember
NOR,0.9,Norway,Ember
OMN,1.67,Oman,Ember
PAK,3.72,Pakistan,Ember
PER,1.02,Peru,Ember
PHL,3.89,Philippines (the),Ember
POL,25.42,Poland,Ember
PRT,6.95,Portugal,Ember
PRI,1.36,Puerto Rico,Ember
QAT,1.68,Qatar,Ember
ROU,6.24,Romania,Ember
RUS,2.43,Russian Federation (the),Ember
SRB,0.43,Serbia,Ember
SVK,1.03,Slovakia,Ember
SVN,1.57,Slovenia,Ember
ZAF,11.26,South Africa,Ember
KOR,30.35,South Korea,Ember
ESP,47.21,Spain,Ember
LKA,2.51,Sri Lanka,Ember
SWE,5.5,Sweden,Ember
CHE,9.11,Switzerland,Ember
TWN,15.47,Taiwan,Ember
THA,6.84,Thailand,Ember
TUN,0.89,Tunisia,Ember
TUR,25.47,Turkey,Ember
GBR,21.66,United Kingdom,Ember
USA,211.61,United States of America,Ember
URY,0.34,Uruguay,Ember
VNM,19.25,Viet Nam,Ember
,2391.47,World,Ember
UKR,1.2,Ukraine,Wikipedia - https://en.wikipedia.org/wiki/Solar_power_by_country
TJK,0.0006,Tajikistan,CABAR.asia 2024 (600 kW USAID project) - https://cabar.asia/en/tajikistan-solar-energy-in-support-of-hydropower-plants
TKM,0.005,Turkmenistan,UNDP 2012 Report - https://www.undp.org/sites/g/files/zskgke326/files/migration/eurasia/Turkmenistan.pdf
TLS,0.0011,Timor-Leste,Asian Development Bank sector assessment 2016-2020 - https://www.adb.org/sites/default/files/linked-documents/cps-tim-2016-2020-ssa-05.pdf
DZA,0.46,Algeria,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
SEN,0.23,Senegal,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
AGO,0.31,Angola,Wikipedia (Ember 2024 data) - https://en.wikipedia.org/wiki/Solar_power_by_country
BEN,0.13,Benin,https://ember-energy.org/latest-insights/global-electricity-review-2025/
BFA,0.09,Burkina Faso,https://ember-energy.org/latest-insights/global-electricity-review-2025/
BDI,0.017,Burundi,https://ember-energy.org/latest-insights/global-electricity-review-2025/
CMR,0.09,Cameroon,https://ember-energy.org/latest-insights/the-first-evidence-of-a-take-off-in-solar-in-africa/
CPV,0.026,Cape Verde,IRENA 2023 via PV Magazine - https://www.pv-magazine.com/2024/11/14/cape-verde-runs-tender-for-10-mw-of-solar/
CAF,0.01,Central African Republic,https://ember-energy.org/latest-insights/the-first-evidence-of-a-take-off-in-solar-in-africa/
COM,0.004034,Comoros,IRENA 2023 via PVKnowhow - https://www.pvknowhow.com/solar-report/comoros/
DJI,0.02,Djibouti,https://ember-energy.org/latest-insights/global-electricity-review-2025/
ERI,0.01,Eritrea,https://ember-energy.org/latest-insights/the-first-evidence-of-a-take-off-in-solar-in-africa/
SWZ,0.03,Eswatini,https://www.globalsolarcouncil.org/news/global-solar-council-africas-solar-market-set-to-surge-42-in-2025-but-finance-bottlenecks-threaten-growth/
GAB,0.01,Gabon,https://ember-energy.org/latest-insights/the-first-evidence-of-a-take-off-in-solar-in-africa/
GMB,0.03,Gambia,https://www.pv-magazine.com/2023/02/10/gambia-inaugurates-23-mw-pv-plant/
GNQ,0.005,Equatorial Guinea,https://www.ren21.net/gsr-2025/downloads/pdf/go/GSR_2025_GO_2025_Full_Report.pdf
GIN,0.01,Guinea,https://ember-energy.org/latest-insights/global-electricity-review-2025/
GNB,0.005,Guinea-Bissau,https://www.ren21.net/gsr-2025/downloads/pdf/go/GSR_2025_GO_2025_Full_Report.pdf
CIV,0.05,Ivory Coast,https://ember-energy.org/latest-insights/global-electricity-review-2025/
LSO,0.005,Lesotho,https://ember-energy.org/latest-insights/global-electricity-review-2025/
MRT,0.04,Mauritania,https://ember-energy.org/latest-insights/global-electricity-review-2025/
MWI,0.03,Malawi,https://www.ren21.net/gsr-2025/downloads/pdf/go/GSR_2025_GO_2025_Full_Report.pdf
STP,0.0036,Sao Tome and Principe,World Bank National Energy Compact 2025 - https://thedocs.worldbank.org/en/doc/680a427c0554b887598d86080fdcc775-0010012025/original/Sao-Tome-National-Energy-Compact-Mission-300.pdf
SLE,0.02,Sierra Leone,https://ember-energy.org/latest-insights/the-first-evidence-of-a-take-off-in-solar-in-africa/
